Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_3-cl_9-br_10-i.log,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,3,604.6825,352.02,Training,581.2910118297332
6Heliceno_3-br_6-i_9-br_12-i_13-i_15-cl.log,0,0,3,0,0,4,0,0,3,0,0,4,4,0,2,0,6,420.7188,363.42,Training,432.8236711556336
6Heliceno_2-i_4-f_9-f_14-br.log,0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,709.4934,352.15,Training,755.922074604905
6Heliceno_5-cl_6-i_12-f_13-i_15-f.log,0,0,0,0,2,4,0,0,0,0,0,1,4,0,1,0,5,295.6794,368.76,Training,370.98152063510287
6Heliceno_2-cl_3-i_6-i_12-i.log,0,2,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,541.358,356.17,Training,523.0469986473389
6Heliceno_2-br_4-br_6-cl_9-cl_12-cl_15-br.log,0,3,0,3,0,2,0,0,2,0,0,2,0,0,3,0,6,582.8912,366.82,Training,564.8112455939842
6Heliceno_6-f_10-f_11-f.log,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,597.0506,342.72,Training,605.3004723106347
6Heliceno_1-cl_10-cl.log,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,532.7661,350.98,Training,540.6115087759854
6Heliceno_2-br.log,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,781.6228,342.88,Training,769.5905862761311
6Heliceno_7-cl_10-i.log,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,571.8015,351.0,Training,568.9828858422756
6Heliceno_3-i_10-i_11-f.log,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,3,587.6966,354.87,Training,650.965341476982
6Heliceno_5-f_9-br.log,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,641.2333,345.1,Training,608.799956132168
6Heliceno_1-i_5-br_6-f_10-i_11-f_13-f.log,4,0,0,0,3,1,0,0,0,4,1,0,1,0,0,0,6,435.1148,371.17,Training,404.54318555362966
6Heliceno_2-br_10-f.log,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,742.2276,342.31,Training,724.6731698366549
6Heliceno_3-br_7-br_15-f.log,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,3,650.5676,346.94,Training,655.8237234994214
6Heliceno_5-cl_13-cl.log,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,554.742,347.43,Training,536.5231458050051
6Heliceno_5-f_6-f.log,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,667.3871,341.64,Training,629.4517956894726
6Heliceno_8-cl_9-cl_12-i_14-f_16-br.log,0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,5,434.77,372.33,Training,383.0969853742917
6Heliceno_3-br_7-br_11-i_12-i_14-br_16-br.log,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,6,359.7503,369.33,Training,409.80712631606735
6Heliceno_1-br_15-cl.log,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,618.7054,350.53,Training,603.3314421859767
6Heliceno_1-br_2-cl_6-cl.log,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,537.8497,363.42,Training,530.4768753361092
6Heliceno_2-f_5-f_8-f_10-i_13-i_15-cl.log,0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,6,494.021,359.2,Training,456.757100985267
6Heliceno_9-br_10-i_12-i_14-cl_15-f_16-f.log,0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,6,351.386,367.51,Training,357.723156768921
6Heliceno_1-cl_5-br_12-br_13-f_15-cl_16-f.log,2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,6,328.0646,367.69,Training,268.4653742363628
6Heliceno_7-f_10-cl_14-br.log,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,3,639.8154,345.71,Training,628.0685194954531
6Heliceno_2-f_7-i_9-br_10-i_13-i.log,0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,5,398.7217,364.82,Training,411.591061125852
6Heliceno_6-f_8-cl_9-br_14-f.log,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,567.7237,357.63,Training,587.9742325523137
6Heliceno_2-cl_9-i_11-f_12-i_13-f.log,0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,5,516.0227,359.98,Training,432.53484196886706
6Heliceno_8-f_10-cl.log,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,583.3478,346.36,Training,619.806575563539
6Heliceno_9-i_13-br.log,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,590.6174,350.0,Training,535.2385995893218
6Heliceno_2-f_8-f_10-cl_12-cl_14-i.log,0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,5,554.6143,356.78,Training,604.162977184511
6Heliceno_6-f_8-f_12-cl_13-cl_15-br.log,0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,5,511.6964,360.55,Training,505.33253726208903
6Heliceno_5-br_6-cl_8-i_11-cl_12-cl_15-cl.log,0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,6,526.029,363.03,Training,443.11271292136144
6Heliceno_3-cl_7-cl_11-i_14-br.log,0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,4,701.7935,352.25,Training,603.671051209874
6Heliceno_9-cl_12-i_13-f_15-i.log,0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,4,527.7319,361.22,Training,550.1892172918436
