Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_3-br_6-i_9-br_12-i_13-i_15-cl.log,0,0,3,0,0,4,0,0,3,0,0,4,4,0,2,0,6,420.7188,363.42,Training,405.15206394197463
6Heliceno_2-i_4-f_9-f_14-br.log,0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,709.4934,352.15,Training,703.0840393328083
6Heliceno_5-cl_6-i_12-f_13-i_15-f.log,0,0,0,0,2,4,0,0,0,0,0,1,4,0,1,0,5,295.6794,368.76,Training,375.7767636911426
6Heliceno_2-cl_3-i_6-i_12-i.log,0,2,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,541.358,356.17,Training,568.6037869329776
6Heliceno_2-f_4-cl_6-br_10-br_12-cl_13-br.log,0,1,0,2,0,3,0,0,0,3,0,2,3,0,0,0,6,309.6727,367.39,Training,284.9540178758472
6Heliceno_2-br_4-br_6-cl_9-cl_12-cl_15-br.log,0,3,0,3,0,2,0,0,2,0,0,2,0,0,3,0,6,582.8912,366.82,Training,503.58680049841206
6Heliceno_1-cl_10-cl.log,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,532.7661,350.98,Training,524.1527506039004
6Heliceno_2-br.log,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,781.6228,342.88,Training,720.4076312140368
6Heliceno_7-cl_10-i.log,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,571.8015,351.0,Training,561.4155879841946
6Heliceno_3-i_10-i_11-f.log,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,3,587.6966,354.87,Training,619.2640829583966
6Heliceno_5-f_9-br.log,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,641.2333,345.1,Training,575.4224941382181
6Heliceno_1-i_5-br_6-f_10-i_11-f_13-f.log,4,0,0,0,3,1,0,0,0,4,1,0,1,0,0,0,6,435.1148,371.17,Training,410.94337191008
6Heliceno_2-br_10-f.log,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,742.2276,342.31,Training,702.040776085898
6Heliceno_5-cl_13-cl.log,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,554.742,347.43,Training,518.1595085082314
6Heliceno_5-f_6-f.log,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,667.3871,341.64,Training,594.0352312755592
6Heliceno_8-cl_9-cl_12-i_14-f_16-br.log,0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,5,434.77,372.33,Training,546.8354557270387
6Heliceno_3-br_7-br_11-i_12-i_14-br_16-br.log,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,6,359.7503,369.33,Training,428.9877627992558
6Heliceno_1-br_15-cl.log,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,618.7054,350.53,Training,578.0393749718132
6Heliceno_1-br_2-cl_6-cl.log,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,537.8497,363.42,Training,507.8116612660263
6Heliceno_2-f_5-f_8-f_10-i_13-i_15-cl.log,0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,6,494.021,359.2,Training,453.99879509090374
6Heliceno_9-br_10-i_12-i_14-cl_15-f_16-f.log,0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,6,351.386,367.51,Training,398.80807573895606
6Heliceno_1-cl_5-br_12-br_13-f_15-cl_16-f.log,2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,6,328.0646,367.69,Training,331.38056658789895
6Heliceno_7-f_10-cl_14-br.log,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,3,639.8154,345.71,Training,591.0968193453272
6Heliceno_2-f_7-i_9-br_10-i_13-i.log,0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,5,398.7217,364.82,Training,387.58920947379744
6Heliceno_6-f_8-cl_9-br_14-f.log,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,567.7237,357.63,Training,593.5891285557955
6Heliceno_2-cl_9-i_11-f_12-i_13-f.log,0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,5,516.0227,359.98,Training,500.45044382635393
6Heliceno_8-f_10-cl.log,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,583.3478,346.36,Training,606.5169591265748
6Heliceno_9-i_13-br.log,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,590.6174,350.0,Training,512.4460031352579
6Heliceno_2-f_8-f_10-cl_12-cl_14-i.log,0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,5,554.6143,356.78,Training,541.4344375974474
6Heliceno_6-f_8-f_12-cl_13-cl_15-br.log,0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,5,511.6964,360.55,Training,432.48608293412804
6Heliceno_5-br_6-cl_8-i_11-cl_12-cl_15-cl.log,0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,6,526.029,363.03,Training,405.77499999401607
6Heliceno_3-cl_7-cl_11-i_14-br.log,0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,4,701.7935,352.25,Training,614.3756894429039
6Heliceno_9-cl_12-i_13-f_15-i.log,0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,4,527.7319,361.22,Training,470.3008830247055
6Heliceno_1-cl_5-br_6-i_8-f_9-i_11-i.log,2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,6,326.5294,372.42,Training,335.4262312328936
6Heliceno_1-i_2-br_3-cl.log,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,496.8925,370.25,Training,473.40016641973244
6Heliceno_2-cl_6-br_9-br_11-br_15-cl.log,0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,5,603.4085,362.9,Training,591.7394832460391
6Heliceno_2-f_6-i_7-cl_8-i_12-cl.log,0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,5,204.7942,365.56,Training,402.3047930672846
6Heliceno_3-i_4-f_6-f_11-i.log,0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,4,620.4351,350.28,Training,629.3648788409944
6Heliceno_7-cl_11-i_13-br.log,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,3,509.9671,354.32,Training,522.2355000045535
6Heliceno_1-cl_3-f_10-br.log,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,497.8788,352.33,Training,504.0864977608505
6Heliceno_2-br_5-br_6-br_8-i_10-br_14-cl.log,0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,6,576.5521,361.95,Training,533.58115282902
6Heliceno_2-cl_3-cl_5-cl_7-i_12-cl_14-cl.log,0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,6,582.6947,360.86,Training,454.9825527808858
